id,category,name,price,popularity,margin,in_stock,valid_from,valid_to
SKU_00001,laptops,TechMart Pro Laptop,1300,0.95,0.22,True,2022-03-01 00:00:00,
SKU_00002,smartphones,TechMart Phone X,1000,0.92,0.25,True,2022-03-01 00:00:00,
SKU_00003,audio,TechMart Wireless Earbuds,150,0.88,0.45,True,2022-03-01 00:00:00,
SKU_00004,accessories,Basic Strap,14,0.7814953896772335,0.28482898609049395,True,2022-03-01 00:00:00,
SKU_00005,accessories,Basic Ring,53,0.6540861917057982,0.13889433014074626,True,2022-03-01 00:00:00,
SKU_00006,accessories,Essential Adapter,11,0.5216798956111339,0.27143941793222875,True,2022-03-01 00:00:00,
SKU_00007,gaming,Classic Joystick,314,0.5192932137233404,0.2758355355318335,True,2022-03-01 00:00:00,
SKU_00008,smartphones,Essential Phone Mount,22,0.3929344630548819,0.1918836544859604,True,2022-03-01 00:00:00,
SKU_00009,accessories,Pro Clip,11,0.7857261875083947,0.3421849888090888,True,2022-03-01 00:00:00,
SKU_00010,laptops,Elite Cooling Pad,266,0.7346412798683664,0.24569531552679363,True,2022-03-01 00:00:00,
SKU_00011,laptops,Basic Webcam,38,0.2224939859120782,0.17957037220300942,True,2022-03-01 00:00:00,
SKU_00012,accessories,Basic Dongle,30,0.4019510540816664,0.27130247272383107,True,2022-03-01 00:00:00,
SKU_00013,audio,Classic Microphone,62,0.7179159004904692,0.10645750674683743,True,2022-03-01 00:00:00,
SKU_00014,audio,Premium Microphone,78,0.30569034869443584,0.1328246316076254,True,2022-03-01 00:00:00,
SKU_00015,laptops,Basic Carry Case,126,0.891579696479554,0.25924415746662005,True,2022-03-01 00:00:00,
SKU_00016,tablets,Premium Screen Film,60,0.6954438683255008,0.1475073697594912,True,2022-03-01 00:00:00,
SKU_00017,smartphones,Classic Phone Stand,162,0.8651549406417697,0.16638603587258632,True,2022-03-01 00:00:00,
SKU_00018,audio,Premium Subwoofer,116,0.15018976677926185,0.1138778165370454,True,2022-03-01 00:00:00,
SKU_00019,audio,Basic Soundbar,81,0.24856287126117976,0.10343283633764869,True,2022-03-01 00:00:00,
SKU_00020,accessories,Elite Cable,130,0.5898567052817679,0.16497967988346057,True,2022-03-01 00:00:00,
SKU_00021,smartphones,Premium Screen Protector,158,0.2891560556087347,0.13612097027919298,True,2022-03-01 00:00:00,
SKU_00022,smartphones,Classic Power Bank,27,0.6708703994393937,0.305347785378296,True,2022-03-01 00:00:00,
SKU_00023,audio,Classic Subwoofer,117,0.47657997038174205,0.2698186085829115,True,2022-03-01 00:00:00,
SKU_00024,gaming,Classic Racing Wheel,44,0.4210120283797053,0.2653901069165817,True,2022-03-01 00:00:00,
SKU_00025,smartphones,Basic Smartwatch,594,0.47729838708578476,0.34361465349904996,True,2022-03-01 00:00:00,
SKU_00026,laptops,Pro Carry Case,98,0.39883802242268407,0.21764874712971344,True,2022-03-01 00:00:00,
SKU_00027,accessories,Essential Dongle,88,0.5196427109353648,0.197140983901717,True,2022-03-01 00:00:00,
SKU_00028,accessories,Essential Dongle,47,0.26259234215874006,0.27037836004587623,True,2022-03-01 00:00:00,
SKU_00029,smartphones,Pro Smartwatch,57,0.5890669165741734,0.23313235012529193,True,2022-03-01 00:00:00,
SKU_00030,laptops,Elite Laptop Sleeve,11,0.7352640638388203,0.1518057228415462,True,2022-03-01 00:00:00,
SKU_00031,accessories,Classic Cable,92,0.5818306432353998,0.18987678773949782,True,2022-03-01 00:00:00,
SKU_00032,accessories,Classic Clip,131,0.9090195561467997,0.1546323523647407,True,2022-03-01 00:00:00,
SKU_00033,tablets,Basic Tablet Stand,45,0.386404189849066,0.22096048311598154,True,2022-03-01 00:00:00,
SKU_00034,laptops,Essential Webcam,69,0.37774324832617867,0.33921026104955043,True,2022-03-01 00:00:00,
SKU_00035,accessories,Classic Ring,117,0.44252352151645546,0.2558096322161277,True,2022-03-01 00:00:00,
SKU_00036,laptops,Elite Docking Station,129,0.584058239495859,0.3343068989086038,True,2022-03-01 00:00:00,
SKU_00037,audio,Elite Amplifier,82,0.3226551367573157,0.2199934478487277,True,2022-03-01 00:00:00,
SKU_00038,audio,Classic Turntable,117,0.15766929596787702,0.27513283196008087,True,2022-03-01 00:00:00,
SKU_00039,smartphones,Pro Charging Dock,9,0.9608995822706924,0.28476334636086004,True,2022-03-01 00:00:00,
SKU_00040,laptops,Basic USB Hub,165,0.9474714701474303,0.29614065108609894,True,2022-03-01 00:00:00,
SKU_00041,smartphones,Basic Power Bank,18,0.21729545946954765,0.18403584041770676,True,2022-03-01 00:00:00,
SKU_00042,gaming,Basic Headset,28,0.24792389620775696,0.25547708460880275,True,2022-03-01 00:00:00,
SKU_00043,smartphones,Basic Phone Mount,59,0.7307856708781209,0.22769101912043804,True,2022-03-01 00:00:00,
SKU_00044,audio,Premium Receiver,56,0.25389467593546233,0.29571181508141253,True,2022-03-01 00:00:00,
SKU_00045,laptops,Elite Docking Station,344,0.27202678854030365,0.29953931842182535,True,2022-03-01 00:00:00,
SKU_00046,accessories,Classic Strap,28,0.4783560851983505,0.20832654023219965,True,2022-03-01 00:00:00,
SKU_00047,laptops,Essential Carry Case,54,0.7095006542160719,0.200934727079224,True,2022-03-01 00:00:00,
SKU_00048,accessories,Premium Strap,19,0.5460257952960652,0.1775292627949584,True,2022-03-01 00:00:00,
SKU_00049,accessories,Classic Adapter,144,0.5963211882210155,0.1331769036440903,True,2022-03-01 00:00:00,
SKU_00050,tablets,Essential Tablet Case,44,0.14439491967519258,0.28423512367594767,True,2022-03-01 00:00:00,
SKU_00051,audio,Basic Soundbar,155,0.28927864561975525,0.21562291892004232,True,2022-03-01 00:00:00,
SKU_00052,audio,Classic DAC,186,0.5394145299793117,0.2363834990939882,True,2022-03-01 00:00:00,
SKU_00053,accessories,Basic Ring,152,0.9984985819638451,0.14767289652570414,True,2022-03-01 00:00:00,
SKU_00054,smartphones,Elite Stylus,65,0.4146260545678775,0.24765167024232104,True,2022-03-01 00:00:00,
SKU_00055,audio,Classic Microphone,2568,0.18971227263912566,0.21051091277895884,True,2022-03-01 00:00:00,
SKU_00056,laptops,Premium Privacy Screen,49,0.4269678772387474,0.20212853161461777,True,2022-03-01 00:00:00,
